timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654227016366,489,https://www.demoblaze.com/index.html-3,200,OK,Performence Test Thread 1-6,text,true,,12690,554,10,10,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,469,0,154
1654227016366,232,https://www.demoblaze.com/index.html-4,200,OK,Performence Test Thread 1-6,text,true,,10045,528,10,10,https://www.demoblaze.com/css/latofonts.css,221,0,128
1654227016366,212,https://www.demoblaze.com/index.html-5,200,OK,Performence Test Thread 1-6,text,true,,927,528,10,10,https://www.demoblaze.com/css/latostyle.css,212,0,122
1654227016366,219,https://www.demoblaze.com/index.html-6,200,OK,Performence Test Thread 1-6,bin,true,,4263,517,10,10,https://www.demoblaze.com/bm.png,215,0,128
1654227016579,149,https://www.demoblaze.com/index.html-7,200,OK,Performence Test Thread 1-6,bin,true,,27679,523,10,10,https://www.demoblaze.com/Samsung1.jpg,91,0,0
1654227016586,142,https://www.demoblaze.com/index.html-8,200,OK,Performence Test Thread 1-6,bin,true,,34140,521,10,10,https://www.demoblaze.com/nexus1.jpg,98,0,0
1654227016599,155,https://www.demoblaze.com/index.html-9,200,OK,Performence Test Thread 1-6,bin,true,,34899,522,10,10,https://www.demoblaze.com/iphone1.jpg,93,0,0
1654227016622,331,https://www.demoblaze.com/index.html-10,200,OK,Performence Test Thread 1-6,text,true,,86957,549,10,10,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,233,0,134
1654227016728,529,https://www.demoblaze.com/index.html-11,200,OK,Performence Test Thread 1-6,text,true,,481577,550,10,10,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,302,0,0
1654227016729,151,https://www.demoblaze.com/index.html-12,200,OK,Performence Test Thread 1-6,text,true,,72252,575,10,10,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,87,0,0
1654227016754,314,https://www.demoblaze.com/index.html-13,200,OK,Performence Test Thread 1-6,text,true,,25287,552,10,10,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,297,0,0
1654227016796,317,https://www.demoblaze.com/index.html-14,200,OK,Performence Test Thread 1-6,text,true,,46951,558,10,10,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,225,0,133
1654227016855,316,https://www.demoblaze.com/index.html-15,200,OK,Performence Test Thread 1-6,text,true,,10258,522,10,10,https://www.demoblaze.com/js/index.js,298,0,0
1654227016796,464,https://api.demoblaze.com/entries,200,OK,Performence Test Thread 1-1,text,true,,2931,356,10,10,https://api.demoblaze.com/entries,464,0,126
1654227016961,299,https://www.demoblaze.com/config.json,200,OK,Performence Test Thread 1-5,text,true,,379,437,10,10,https://www.demoblaze.com/config.json,299,0,0
1654227017016,295,https://www.demoblaze.com/config.json,200,OK,Performence Test Thread 1-4,text,true,,379,437,10,10,https://www.demoblaze.com/config.json,295,0,0
